Id,LotArea,Street,Utilities,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,SaleCondition,SalePrice
1,8450,Pave,AllPub,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,Normal,208500
2,9600,Pave,AllPub,Feedr,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,Normal,181500
3,11250,Pave,AllPub,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,Normal,223500
4,9550,Pave,AllPub,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Abnorml,140000
5,14260,Pave,AllPub,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,Normal,250000
6,14115,Pave,AllPub,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,Normal,143000
7,10084,Pave,AllPub,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,Normal,307000
8,10382,Pave,AllPub,PosN,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,Normal,200000
9,6120,Pave,AllPub,Artery,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Abnorml,129900
10,7420,Pave,AllPub,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,Normal,118000
11,11200,Pave,AllPub,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,Normal,129500
12,11924,Pave,AllPub,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Partial,345000
13,12968,Pave,AllPub,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Normal,144000
14,10652,Pave,AllPub,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Partial,279500
15,10920,Pave,AllPub,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,Normal,157000
16,6120,Pave,AllPub,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Normal,132000
17,11241,Pave,AllPub,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Normal,149000
18,10791,Pave,AllPub,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,Normal,90000
19,13695,Pave,AllPub,RRAe,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,Normal,159000
20,7560,Pave,AllPub,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Abnorml,139000
21,14215,Pave,AllPub,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,Partial,325300
22,7449,Pave,AllPub,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Normal,139400
23,9742,Pave,AllPub,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,Normal,230000
24,4224,Pave,AllPub,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,Normal,129900
25,8246,Pave,AllPub,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Normal,154000
26,14230,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Normal,256300
27,7200,Pave,AllPub,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Normal,134800
28,11478,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Normal,306000
29,16321,Pave,AllPub,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,Normal,207500
30,6324,Pave,AllPub,Feedr,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,Normal,68500
31,8500,Pave,AllPub,Feedr,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,Normal,40000
32,8544,Pave,AllPub,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,Normal,149350
33,11049,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Normal,179900
34,10552,Pave,AllPub,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,Normal,165500
35,7313,Pave,AllPub,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,Normal,277500
36,13418,Pave,AllPub,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,Normal,309000
37,10859,Pave,AllPub,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,Normal,145000
38,8532,Pave,AllPub,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,Normal,153000
39,7922,Pave,AllPub,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,Abnorml,109000
40,6040,Pave,AllPub,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,AdjLand,82000
41,8658,Pave,AllPub,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Abnorml,160000
42,16905,Pave,AllPub,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,Normal,170000
43,9180,Pave,AllPub,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,Normal,144000
44,9200,Pave,AllPub,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,Normal,130250
45,7945,Pave,AllPub,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Normal,141000
46,7658,Pave,AllPub,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,Normal,319900
47,12822,Pave,AllPub,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,Abnorml,239686
48,11096,Pave,AllPub,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,Normal,249700
49,4456,Pave,AllPub,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,Partial,113000
50,7742,Pave,AllPub,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,Normal,127000
51,13869,Pave,AllPub,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,Normal,177000
52,6240,Pave,AllPub,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,Normal,114500
53,8472,Grvl,AllPub,RRNn,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Normal,110000
54,50271,Pave,AllPub,Norm,1Fam,1Story,9,5,1981,Gable,WdShngl,WdShing,Normal,385000
55,7134,Pave,AllPub,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,Normal,130000
56,10175,Pave,AllPub,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Normal,180500
57,2645,Pave,AllPub,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,Abnorml,172500
58,11645,Pave,AllPub,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,Normal,196500
59,13682,Pave,AllPub,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,Partial,438780
60,7200,Pave,AllPub,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,Normal,124900
61,13072,Pave,AllPub,RRAe,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,Partial,158000
62,7200,Pave,AllPub,Norm,1Fam,2.5Unf,5,7,1920,Gable,CompShg,MetalSd,Normal,101000
63,6442,Pave,AllPub,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,Normal,202500
64,10300,Pave,AllPub,RRAn,1Fam,2Story,7,6,1921,Gable,CompShg,Stucco,Normal,140000
65,9375,Pave,AllPub,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,Normal,219500
66,9591,Pave,AllPub,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,Normal,317000
67,19900,Pave,AllPub,PosA,1Fam,1Story,7,5,1970,Gable,CompShg,Plywood,Normal,180000
68,10665,Pave,AllPub,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,Normal,226000
69,4608,Pave,AllPub,Artery,1Fam,1Story,4,6,1945,Gable,CompShg,MetalSd,Normal,80000
70,15593,Pave,AllPub,Norm,1Fam,1.5Fin,7,4,1953,Gable,CompShg,BrkFace,Normal,225000
71,13651,Pave,AllPub,Norm,1Fam,1Story,7,6,1973,Gable,CompShg,Plywood,Normal,244000
72,7599,Pave,AllPub,Norm,1Fam,1Story,4,6,1982,Gable,CompShg,HdBoard,Normal,129500
73,10141,Pave,AllPub,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,Normal,185000
74,10200,Pave,AllPub,Norm,1Fam,1Story,5,7,1954,Gable,CompShg,Wd Sdng,Normal,144900
75,5790,Pave,AllPub,Norm,1Fam,2Story,3,6,1915,Gambrel,CompShg,VinylSd,Normal,107400
76,1596,Pave,AllPub,Norm,Twnhs,SLvl,4,5,1973,Gable,CompShg,CemntBd,Normal,91000
77,8475,Pave,AllPub,Norm,1Fam,1Story,4,7,1956,Gable,CompShg,VinylSd,Normal,135750
